id,gene,cell,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4.PWCOCO.,ldcheck,H4..conventional.coloc.
"HLA-W_T cell, CD4, naive TREG",HLA-W,"T cell, CD4, naive TREG",1,-0.046524578,0.009534667,NA,NA,1.06E-06,NA,NA,NA,NA,NA,NA,NA,-0.065212525,-0.027836632,0.954541099,0.936868335,0.972547237,0.000109955,Prostate cancer,ieu-b-85,"HLA-W_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",1.56E-06,1,1
"RP4-583P15.15_T cell, CD8, naive",RP4-583P15.15,"T cell, CD8, naive",1,0.100150897,0.011081415,NA,NA,1.60E-19,NA,NA,NA,NA,NA,NA,NA,0.078431325,0.12187047,1.105337698,1.081589074,1.129607774,1.87E-16,Prostate cancer,ieu-b-85,"RP4-583P15.15_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.084971944,0.812864528,0.966794
"RP4-583P15.15_T cell, CD4, TFH",RP4-583P15.15,"T cell, CD4, TFH",1,0.09463759,0.010471383,NA,NA,1.60E-19,NA,NA,NA,NA,NA,NA,NA,0.07411368,0.1151615,1.0992604,1.076929224,1.122054634,1.87E-16,Prostate cancer,ieu-b-85,"RP4-583P15.15_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.487230117,0.812864528,0.954383
"RP4-583P15.15_T cell, CD4, naive",RP4-583P15.15,"T cell, CD4, naive",1,0.11112654,0.012295838,NA,NA,1.60E-19,NA,NA,NA,NA,NA,NA,NA,0.087026696,0.135226383,1.117536311,1.090925803,1.144795917,1.87E-16,Prostate cancer,ieu-b-85,"RP4-583P15.15_T cell, CD4, naive_Prostate cancer_ieu-b-85",0.346089197,0.812864528,0.942474
"UHRF1BP1_T cell, CD4, naive activated",UHRF1BP1,"T cell, CD4, naive activated",1,0.050062305,0.008784717,NA,NA,1.21E-08,NA,NA,NA,NA,NA,NA,NA,0.032844259,0.067280351,1.051336598,1.033389585,1.069595298,3.16E-06,Prostate cancer,ieu-b-85,"UHRF1BP1_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.83424989,0.983316174,0.83425
"RP1-228P16.1_T cell, CD4, TH17",RP1-228P16.1,"T cell, CD4, TH17",1,-0.035824792,0.009357927,NA,NA,0.00012904,NA,NA,NA,NA,NA,NA,NA,-0.054166329,-0.017483254,0.964809321,0.947274535,0.982668691,0.005872112,Prostate cancer,ieu-b-85,"RP1-228P16.1_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.426951814,1,0.995287
"LAMC1_Monocyte, classical",LAMC1,"Monocyte, classical",1,-0.034456481,0.007774304,NA,NA,9.33E-06,NA,NA,NA,NA,NA,NA,NA,-0.049694116,-0.019218846,0.966130384,0.951520435,0.980964658,0.00065448,Prostate cancer,ieu-b-85,"LAMC1_Monocyte, classical_Prostate cancer_ieu-b-85",0.843672798,0.991239272,0.843673
"MPHOSPH6_Monocyte, classical",MPHOSPH6,"Monocyte, classical",1,0.051279523,0.010947314,NA,NA,2.81E-06,NA,NA,NA,NA,NA,NA,NA,0.029822788,0.072736258,1.052617083,1.030271941,1.075446859,0.00024133,Prostate cancer,ieu-b-85,"MPHOSPH6_Monocyte, classical_Prostate cancer_ieu-b-85",0.869915068,0.994290174,0.869915
"MPHOSPH6_T cell, CD8, naive activated",MPHOSPH6,"T cell, CD8, naive activated",1,0.045037368,0.008706508,NA,NA,2.31E-07,NA,NA,NA,NA,NA,NA,NA,0.027972612,0.062102123,1.046066948,1.028367519,1.064071005,3.58E-05,Prostate cancer,ieu-b-85,"MPHOSPH6_T cell, CD8, naive activated_Prostate cancer_ieu-b-85",0.748129253,1,0.935871
"MPHOSPH6_T cell, CD8, naive",MPHOSPH6,"T cell, CD8, naive",1,0.040876885,0.007902214,NA,NA,2.31E-07,NA,NA,NA,NA,NA,NA,NA,0.025388546,0.056365225,1.041723846,1.02571358,1.057984015,3.58E-05,Prostate cancer,ieu-b-85,"MPHOSPH6_T cell, CD8, naive_Prostate cancer_ieu-b-85",0.038868246,1,1
"MPHOSPH6_T cell, CD4, naive TREG",MPHOSPH6,"T cell, CD4, naive TREG",1,0.040980645,0.007922273,NA,NA,2.31E-07,NA,NA,NA,NA,NA,NA,NA,0.025452991,0.0565083,1.041831941,1.025779684,1.058135397,3.58E-05,Prostate cancer,ieu-b-85,"MPHOSPH6_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.902544615,1,0.902545
